IdProducto;DescripcionLarga;Clase ;Talla ;Color ;PrecioCosto;PrecioPublico1;Fracción ;Fab/Marca;IdProducto2;Cod Color; Vigencia Inicial;Grupo Destino
10697;TACTIL PARA CELULAR AVVIO  Y210;;;;47600;60000;;;10697;;;______________________
11185;TACTIL PARA CELULAR AVVIO 780;;;;35000;60000;;;11185;;;______________________
11184;TACTIL PARA CELULAR AVVIO 785;;;;35000;65000;;;11184;;;______________________
11182;TACTIL PARA CELULAR AVVIO L500;;;;35000;70000;;;11182;;;______________________
11634;TACTIL PARA CELULAR AVVIO PRO 450;;;;25000;60000;;;11634;;;______________________
11183;TACTIL PARA CELULAR AVVIO Q797;;;;35000;60000;;;11183;;;______________________
10715;TACTIL PARA CELULAR AZUMI  A35C;;;;47600;60000;;;10715;;;______________________
10714;TACTIL PARA CELULAR AZUMI  A40 STYLE;;;;47600;60000;;;10714;;;______________________
10716;TACTIL PARA CELULAR AZUMI  A45S;;;;47600;60000;;;10716;;;______________________
10713;TACTIL PARA CELULAR AZUMI  A45T;;;;47600;60000;;;10713;;;______________________
10717;TACTIL PARA CELULAR AZUMI  A50C;;;;71400;80000;;;10717;;;______________________
10718;TACTIL PARA CELULAR AZUMI  A50C+;;;;47600;70000;;;10718;;;______________________
10719;TACTIL PARA CELULAR AZUMI  A50T;;;;71400;85000;;;10719;;;______________________
11599;TACTIL PARA CELULAR HUAWEI Y5 LITE 2017;;;;26180;60000;;;11599;;;______________________
10720;TACTIL PARA CELULAR LENOVO 780;;;;47600;60000;;;10720;;;______________________
10912;TACTIL PARA CELULAR MARCA ALCATEL 710;;;;14280;20000;;;10912;;;______________________
11710;TACTIL PARA CELULAR MARCA ALCATEL OT8050;;;;35000;70000;;;11710;;;______________________
11374;TACTIL PARA CELULAR MARCA AVVIO 489;;;;23800;60000;;;11374;;;______________________
11555;TACTIL PARA CELULAR MARCA LG G2 D800;;;;41650;60000;;;11555;;;______________________
11542;TACTIL PARA CELULAR MARCA SAMSUNG GRAND PRIME;;;;50000;70000;;;11542;;;______________________
11553;TACTIL PARA CELULAR MARCA SAMSUNG J1;;;;41650;65000;;;11553;;;______________________
10893;TACTIL PARA CELULAR NOKIA C2;;;;20000;30000;;;10893;;;______________________
11663;TACTIL PARA CELULAR NOKIA N625;;;;17400;60000;;;11663;;;______________________
11190;TACTIL PARA CELULAR SAMSUNG ACE 4 313;;;;30000;55000;;;11190;;;______________________
11192;TACTIL PARA CELULAR SAMSUNG CORE 2 G355;;;;35000;60000;;;11192;;;______________________
11544;TACTIL PARA CELULAR SAMSUNG CORE PLUS G350;;;;35700;60000;;;11544;;;______________________
10778;TACTIL PARA CELULAR SAMSUNG GALAXY  ACE 3 4G;;;;47600;60000;;;10778;;;______________________
10777;TACTIL PARA CELULAR SAMSUNG GALAXY  ACE 4 316;;;;20000;50000;;;10777;;;______________________
10770;TACTIL PARA CELULAR SAMSUNG GALAXY  ACE S 5830;;;;41650;55000;;;10770;;;______________________
10776;TACTIL PARA CELULAR SAMSUNG GALAXY  CORE I8260;;;;47600;65000;;;10776;;;______________________
10779;TACTIL PARA CELULAR SAMSUNG GALAXY  CORE PRIME;;;;25000;50000;;;10779;;;______________________
10780;TACTIL PARA CELULAR SAMSUNG GALAXY  GRAND 2;;;;59500;80000;;;10780;;;______________________
10781;TACTIL PARA CELULAR SAMSUNG GALAXY  GRAND I9080;;;;59500;65000;;;10781;;;______________________
10768;TACTIL PARA CELULAR SAMSUNG GALAXY  GRAND NEO I9060L;;;;23800;55000;;;10768;;;______________________
10774;TACTIL PARA CELULAR SAMSUNG GALAXY  S7 562;;;;47600;60000;;;10774;;;______________________
10775;TACTIL PARA CELULAR SAMSUNG GALAXY  S7 EDGE E270;;;;47600;60000;;;10775;;;______________________
10769;TACTIL PARA CELULAR SAMSUNG GALAXY  YOUNG 6310;;;;35700;55000;;;10769;;;______________________
10773;TACTIL PARA CELULAR SAMSUNG GALAXY  YOUNG DUOS GT-S6313T;;;;47600;65000;;;10773;;;______________________
11545;TACTIL PARA CELULAR SAMSUNG GALAXY FAME S6810;;;;35700;55000;;;11545;;;______________________
10771;TACTIL PARA CELULAR SAMSUNG GALAXY Y GT-s5360;;;;41650;55000;;;10771;;;______________________
11188;TACTIL PARA CELULAR SAMSUNG J1 MINI;;;;35000;60000;;;11188;;;______________________
11189;TACTIL PARA CELULAR SAMSUNG J2 PRIME;;;;20000;60000;;;11189;;;______________________
10772;TACTIL PARA CELULAR SAMSUNG S DUOS 7562;;;;47600;65000;;;10772;;;______________________
11191;TACTIL PARA CELULAR SAMSUNG STAR 2 PLUS;;;;30000;60000;;;11191;;;______________________
11283;TACTIL PARA CELULAR SONY EXPERIA E 4;;;;29750;60000;;;11283;;;______________________
10786;TACTIL PARA CELULAR SONY EXPERIA M2;;;;47600;70000;;;10786;;;______________________
10787;TACTIL PARA CELULAR SONY EXPERIA M2 AQUA;;;;59500;80000;;;10787;;;______________________
